Category,City,Country,Customer Name,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Profit,Quantity,Sales
Furniture,New York City,United States,Scott Williamson,11/21/2017,CA-2017-107874,10035,Howard Miller Distant Time Traveler Alarm Clock,East,Consumer,11/25/2017,Standard Class,New York,Furnishings,0,11.2422,1,27.42
Furniture,Yonkers,United States,Tony Molinari,7/27/2017,CA-2017-108791,10701,Tensor Computer Mounted Lamp,East,Consumer,7/31/2017,Standard Class,New York,Furnishings,0,4.0203,1,14.89
Furniture,Rockville,United States,Joel Eaton,12/1/2016,CA-2016-113621,20852,Harbour Creations Steel Folding Chair,East,Consumer,12/5/2016,Standard Class,Maryland,Chairs,0,51.75,2,172.5
Furniture,Belleville,United States,John Dryer,2/16/2016,CA-2016-134138,07109,Hon Comfortask Task/Swivel Chairs,East,Consumer,2/20/2016,Standard Class,New Jersey,Chairs,0,36.4736,2,227.96
Furniture,Clinton,United States,Brian Thompson,7/9/2015,CA-2015-132626,20735,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,East,Consumer,7/14/2015,Standard Class,Maryland,Furnishings,0,20.0156,2,181.96
Furniture,Lakewood,United States,Nora Paige,10/12/2017,CA-2017-150091,08701,DAX Two-Tone Silver Metal Document Frame,East,Consumer,10/16/2017,Standard Class,New Jersey,Furnishings,0,17.4064,2,40.48
Furniture,New York City,United States,Annie Thurman,12/17/2017,CA-2017-103443,10009,Deflect-o Glass Clear Studded Chair Mats,East,Consumer,12/23/2017,Standard Class,New York,Furnishings,0,27.3592,2,124.36
Furniture,New York City,United States,Alex Avila,9/15/2014,CA-2014-138100,10011,"Master Caster Door Stop, Large Neon Orange",East,Consumer,9/20/2014,Standard Class,New York,Furnishings,0,6.2608,2,14.56
Furniture,New York City,United States,Karen Daniels,9/2/2016,CA-2016-130407,10024,Telescoping Adjustable Floor Lamp,East,Consumer,9/6/2016,Standard Class,New York,Furnishings,0,9.995,2,39.98
Furniture,New York City,United States,Toby Swindell,5/18/2017,CA-2017-117863,10024,"Master Caster Door Stop, Large Neon Orange",East,Consumer,5/23/2017,Standard Class,New York,Furnishings,0,6.2608,2,14.56
Furniture,New York City,United States,Bobby Trafton,6/4/2014,CA-2014-151946,10035,G.E. Halogen Desk Lamp Bulbs,East,Consumer,6/9/2014,Standard Class,New York,Furnishings,0,6.7008,2,13.96
Furniture,New York City,United States,Bobby Trafton,6/4/2014,CA-2014-151946,10035,"Seth Thomas 14"" Day/Date Wall Clock",East,Consumer,6/9/2014,Standard Class,New York,Furnishings,0,21.0752,2,56.96
Furniture,Oceanside,United States,Duane Benoit,12/18/2017,CA-2017-105886,11572,"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",East,Consumer,12/23/2017,Standard Class,New York,Furnishings,0,8.532,2,18.96
Furniture,Newark,United States,Ken Lonsdale,11/13/2015,CA-2015-115798,19711,Bestar Classic Bookcase,East,Consumer,11/19/2015,Standard Class,Delaware,Bookcases,0,56.9943,3,299.97
Furniture,Columbia,United States,Duane Noonan,9/20/2014,CA-2014-166744,21044,O'Sullivan Living Dimensions 2-Shelf Bookcases,East,Consumer,9/24/2014,Standard Class,Maryland,Bookcases,0,36.294,3,362.94
Furniture,Washington,United States,Greg Tran,4/27/2015,CA-2015-124450,20016,Global Comet Stacking Arm Chair,East,Consumer,5/3/2015,Standard Class,District of Columbia,Chairs,0,316.8825,3,1267.53
Furniture,Paterson,United States,Doug O'Connell,12/4/2017,CA-2017-118003,07501,Global Low Back Tilter Chair,East,Consumer,12/10/2017,Standard Class,New Jersey,Chairs,0,18.1764,3,302.94
Furniture,Paterson,United States,Doug O'Connell,12/4/2017,CA-2017-118003,07501,"Global Value Steno Chair, Gray",East,Consumer,12/10/2017,Standard Class,New Jersey,Chairs,0,45.555,3,182.22
Furniture,Dover,United States,Lycoris Saunders,11/14/2015,US-2015-111927,19901,"Executive Impressions 13"" Chairman Wall Clock",East,Consumer,11/19/2015,Standard Class,Delaware,Furnishings,0,26.649,3,76.14
Furniture,Washington,United States,Toby Braunhardt,5/26/2016,CA-2016-157266,20016,9-3/4 Diameter Round Wall Clock,East,Consumer,6/1/2016,Standard Class,District of Columbia,Furnishings,0,17.3754,3,41.37
Furniture,Columbia,United States,Duane Noonan,9/20/2014,CA-2014-166744,21044,"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx",East,Consumer,9/24/2014,Standard Class,Maryland,Furnishings,0,50.9082,3,164.22
Furniture,Marlborough,United States,Patrick O'Donnell,9/17/2016,US-2016-152415,01752,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",East,Consumer,9/22/2016,Standard Class,Massachusetts,Furnishings,0,6.2244,3,14.82
Furniture,Marlborough,United States,Patrick O'Donnell,9/17/2016,US-2016-152415,01752,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",East,Consumer,9/22/2016,Standard Class,Massachusetts,Furnishings,0,61.3824,3,191.82
Furniture,Freeport,United States,Tom Prescott,11/28/2015,CA-2015-136196,11520,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",East,Consumer,12/4/2015,Standard Class,New York,Furnishings,0,64.518,3,322.59
Furniture,Hempstead,United States,Sean O'Donnell,12/4/2015,CA-2015-161718,11550,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",East,Consumer,12/10/2015,Standard Class,New York,Furnishings,0,11.376,3,28.44
Furniture,New Rochelle,United States,Magdelene Morse,9/18/2016,CA-2016-120355,10801,DAX Two-Tone Silver Metal Document Frame,East,Consumer,9/25/2016,Standard Class,New York,Furnishings,0,26.1096,3,60.72
Furniture,New York City,United States,Patrick Gardner,9/1/2016,CA-2016-151561,10011,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",East,Consumer,9/7/2016,Standard Class,New York,Furnishings,0,61.3824,3,191.82
Furniture,New York City,United States,Natalie Webber,5/8/2015,US-2015-160857,10024,DAX Black Cherry Wood-Tone Poster Frame,East,Consumer,5/15/2015,Standard Class,New York,Furnishings,0,30.1872,3,79.44
Furniture,New York City,United States,Adam Shillingsburg,9/22/2014,CA-2014-156160,10035,"Computer Room Manger, 14""",East,Consumer,9/29/2014,Standard Class,New York,Furnishings,0,35.0784,3,97.44
Furniture,Wilmington,United States,Ivan Liston,2/6/2015,CA-2015-156482,19805,"Hon Metal Bookcases, Putty",East,Consumer,2/13/2015,Standard Class,Delaware,Bookcases,0,82.3368,4,283.92
Furniture,Lawrence,United States,Carol Triggs,5/7/2014,CA-2014-166086,01841,"Lifetime Advantage Folding Chairs, 4/Carton",East,Consumer,5/12/2014,Standard Class,Massachusetts,Chairs,0,244.2496,4,872.32
Furniture,Newark,United States,Justin MacKendrick,11/14/2016,US-2016-117541,19711,Stacking Trays by OIC,East,Consumer,11/20/2016,Standard Class,Delaware,Furnishings,0,6.5736,4,19.92
Furniture,Newark,United States,Karl Braun,8/26/2014,CA-2014-103331,19711,Acrylic Self-Standing Desk Frames,East,Consumer,9/1/2014,Standard Class,Delaware,Furnishings,0,4.0584,4,10.68
Furniture,New York City,United States,Speros Goranitis,12/6/2015,US-2015-127040,10009,"Seth Thomas 14"" Day/Date Wall Clock",East,Consumer,12/10/2015,Standard Class,New York,Furnishings,0,42.1504,4,113.92
Furniture,New York City,United States,Bradley Nguyen,5/19/2016,CA-2016-169943,10011,Nu-Dell Float Frame 11 x 14 1/2,East,Consumer,5/24/2016,Standard Class,New York,Furnishings,0,15.0864,4,35.92
Furniture,New York City,United States,Christopher Conant,11/17/2017,US-2017-155866,10011,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",East,Consumer,11/21/2017,Standard Class,New York,Furnishings,0,76.9816,4,187.76
Furniture,New York City,United States,Pete Kriz,12/14/2016,CA-2016-129126,10011,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",East,Consumer,12/19/2016,Standard Class,New York,Furnishings,0,198.46,4,396.92
Furniture,Lakewood,United States,Nora Paige,10/12/2017,CA-2017-150091,08701,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",East,Consumer,10/16/2017,Standard Class,New Jersey,Bookcases,0,129.294,5,2154.9
Furniture,New York City,United States,Valerie Dominguez,11/1/2015,CA-2015-113145,10011,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",East,Consumer,11/5/2015,Standard Class,New York,Furnishings,0,106.477,5,259.7
Furniture,Long Beach,United States,Daniel Lacy,11/1/2014,US-2014-137155,11561,"Master Big Foot Doorstop, Beige",East,Consumer,11/5/2014,Standard Class,New York,Furnishings,0,9.8208,6,31.68
Furniture,New York City,United States,Roger Demir,11/2/2014,CA-2014-107454,10024,Tensor Computer Mounted Lamp,East,Consumer,11/6/2014,Standard Class,New York,Furnishings,0,24.1218,6,89.34
Furniture,New York City,United States,Caroline Jumper,5/7/2016,CA-2016-128818,10009,Staple-based wall hangings,East,Consumer,5/11/2016,Standard Class,New York,Furnishings,0,28.0192,8,63.68
Furniture,New York City,United States,Janet Martin,3/29/2016,CA-2016-167556,10009,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",East,Consumer,4/2/2016,Standard Class,New York,Furnishings,0,124.2,8,414
Furniture,New York City,United States,Bradley Nguyen,5/19/2016,CA-2016-169943,10011,"DAX Value U-Channel Document Frames, Easel Back",East,Consumer,5/24/2016,Standard Class,New York,Furnishings,0,12.3256,8,39.76
Furniture,New York City,United States,Giulietta Baptist,3/8/2016,CA-2016-137337,10011,Coloredge Poster Frame,East,Consumer,3/12/2016,Standard Class,New York,Furnishings,0,44.304,8,113.6
Furniture,Wilmington,United States,Ivan Liston,2/6/2015,CA-2015-156482,19805,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,East,Consumer,2/13/2015,Standard Class,Delaware,Chairs,0,266.4522,9,1268.82
Furniture,New York City,United States,Jessica Myrick,12/24/2016,CA-2016-157259,10035,Luxo Adjustable Task Clamp Lamp,East,Consumer,12/28/2016,Standard Class,New York,Furnishings,0,207.8856,9,799.56
Furniture,New York City,United States,Seth Vernon,9/20/2017,CA-2017-100111,10035,"Global Leather Task Chair, Black",East,Consumer,9/26/2017,Standard Class,New York,Chairs,0.1,8.099100000,1,80.991
Furniture,Hempstead,United States,Sean O'Donnell,12/4/2015,CA-2015-161718,11550,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",East,Consumer,12/10/2015,Standard Class,New York,Chairs,0.1,68.3332,2,361.764
Furniture,New Rochelle,United States,Magdelene Morse,9/18/2016,CA-2016-120355,10801,Global Leather Executive Chair,East,Consumer,9/25/2016,Standard Class,New York,Chairs,0.1,140.396,2,631.782
Furniture,New York City,United States,Gary McGarr,10/8/2017,US-2017-168613,10009,Office Star - Ergonomically Designed Knee Chair,East,Consumer,10/14/2017,Standard Class,New York,Chairs,0.1,3.239200000,2,145.764
Furniture,New York City,United States,Jeremy Farry,11/1/2015,CA-2015-141740,10009,Hon Comfortask Task/Swivel Chairs,East,Consumer,11/5/2015,Standard Class,New York,Chairs,0.1,13.6776,2,205.164
Furniture,New York City,United States,Mark Van Huff,3/24/2017,CA-2017-122308,10011,"Global Airflow Leather Mesh Back Chair, Black",East,Consumer,3/28/2017,Standard Class,New York,Chairs,0.1,60.392,2,271.764
Furniture,New York City,United States,Natalie Webber,5/8/2015,US-2015-160857,10024,"Situations Contoured Folding Chairs, 4/Set",East,Consumer,5/15/2015,Standard Class,New York,Chairs,0.1,21.294,2,127.764
Furniture,New York City,United States,Peter Fuller,9/17/2015,US-2015-126977,10035,Office Star Flex Back Scooter Chair with White Frame,East,Consumer,9/23/2015,Standard Class,New York,Chairs,0.1,8.8784,2,199.764
Furniture,Oceanside,United States,Hunter Glantz,12/24/2017,CA-2017-169978,11572,DMI Arturo Collection Mission-style Design Wood Chair,East,Consumer,12/28/2017,Standard Class,New York,Chairs,0.1,48.3136,2,271.764
Furniture,Troy,United States,Scot Wooten,11/2/2015,CA-2015-100657,12180,"Global Armless Task Chair, Royal Blue",East,Consumer,11/7/2015,Standard Class,New York,Chairs,0.1,8.5372,2,109.764
Furniture,New York City,United States,Jill Fjeld,2/16/2016,CA-2016-105781,10024,Hon Every-Day Chair Series Swivel Task Chairs,East,Consumer,2/20/2016,Standard Class,New York,Chairs,0.1,39.9234,3,326.646
Furniture,New York City,United States,Seth Vernon,9/20/2017,CA-2017-100111,10035,Hon Valutask Swivel Chairs,East,Consumer,9/26/2017,Standard Class,New York,Chairs,0.1,18.1764,3,272.646
Furniture,New York City,United States,Caroline Jumper,5/7/2016,CA-2016-128818,10009,Hon Mobius Operator's Chair,East,Consumer,5/11/2016,Standard Class,New York,Chairs,0.1,59.0352,4,442.764
Furniture,New York City,United States,Adam Shillingsburg,9/22/2014,CA-2014-156160,10035,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,East,Consumer,9/29/2014,Standard Class,New York,Chairs,0.1,83.7096,4,579.528
Furniture,New York City,United States,Sarah Bern,6/12/2017,CA-2017-108441,10035,Safco Contoured Stacking Chairs,East,Consumer,6/18/2017,Standard Class,New York,Chairs,0.1,143.04,4,858.24
Furniture,Hempstead,United States,Sean O'Donnell,12/4/2015,CA-2015-161718,11550,Office Star - Ergonomically Designed Knee Chair,East,Consumer,12/10/2015,Standard Class,New York,Chairs,0.1,8.098000000,5,364.41
Furniture,New York City,United States,Seth Vernon,9/20/2017,CA-2017-100111,10035,Global Troy Executive Leather Low-Back Tilter,East,Consumer,9/26/2017,Standard Class,New York,Chairs,0.1,375.735,5,2254.41
Furniture,New York City,United States,Erica Hackney,3/31/2016,CA-2016-124100,10009,"Global Value Steno Chair, Gray",East,Consumer,4/6/2016,Standard Class,New York,Chairs,0.1,54.666,6,327.996
Furniture,New York City,United States,Frank Preis,4/1/2016,CA-2016-111213,10009,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",East,Consumer,4/5/2016,Standard Class,New York,Chairs,0.1,292.776,6,1317.492
Furniture,New York City,United States,Annie Zypern,3/25/2014,CA-2014-148586,10009,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",East,Consumer,4/1/2014,Standard Class,New York,Chairs,0.1,65.2064,7,366.786
Furniture,New York City,United States,Jay Kimmel,8/21/2016,CA-2016-122581,10035,"Leather Task Chair, Black",East,Consumer,8/25/2016,Standard Class,New York,Chairs,0.1,63.686,7,573.174
Furniture,New York City,United States,Joe Elijah,12/25/2016,CA-2016-169670,10009,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,East,Consumer,12/31/2016,Standard Class,New York,Chairs,0.1,313.2624,8,2563.056
Furniture,New York City,United States,Doug Jacobs,12/18/2017,CA-2017-115602,10009,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,East,Consumer,12/24/2017,Standard Class,New York,Chairs,0.1,139.5702,9,1141.938
Furniture,New York City,United States,Seth Vernon,9/20/2017,CA-2017-100111,10035,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,East,Consumer,9/26/2017,Standard Class,New York,Chairs,0.1,609.7157,11,2888.127
Furniture,New York City,United States,Ben Wallace,10/27/2016,CA-2016-116596,10011,"Metal Folding Chairs, Beige, 4/Carton",East,Consumer,10/31/2016,Standard Class,New York,Chairs,0.1,80.7772,14,427.644
Furniture,Long Beach,United States,Caroline Jumper,3/10/2016,US-2016-112977,11561,O'Sullivan Living Dimensions 5-Shelf Bookcases,East,Consumer,3/16/2016,Standard Class,New York,Bookcases,0.2,-22.098,1,176.784
Furniture,New York City,United States,Bryan Davis,2/6/2017,CA-2017-115105,10024,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",East,Consumer,2/11/2017,Standard Class,New York,Bookcases,0.2,30.098,1,240.784
Furniture,Lancaster,United States,Steven Cartwright,6/29/2015,CA-2015-128860,17602,"Eldon Executive Woodline II Desk Accessories, Mahogany",East,Consumer,7/5/2015,Standard Class,Pennsylvania,Furnishings,0.2,1.7591,1,20.104
Furniture,Philadelphia,United States,Natalie Webber,6/21/2014,CA-2014-138317,19120,Stacking Trays by OIC,East,Consumer,6/25/2014,Standard Class,Pennsylvania,Furnishings,0.2,0.6474,1,3.984
Furniture,New York City,United States,Adam Shillingsburg,6/21/2016,CA-2016-119865,10011,O'Sullivan Living Dimensions 5-Shelf Bookcases,East,Consumer,6/26/2016,Standard Class,New York,Bookcases,0.2,-44.196,2,353.568
Furniture,New York City,United States,Jim Karlsson,12/25/2015,CA-2015-113152,10024,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",East,Consumer,12/30/2015,Standard Class,New York,Bookcases,0.2,56.196,2,449.568
Furniture,New York City,United States,Bobby Trafton,6/4/2014,CA-2014-151946,10035,O'Sullivan Living Dimensions 5-Shelf Bookcases,East,Consumer,6/9/2014,Standard Class,New York,Bookcases,0.2,-44.196,2,353.568
Furniture,New York City,United States,Kelly Andreada,11/24/2017,CA-2017-168641,10035,O'Sullivan Plantations 2-Door Library in Landvery Oak,East,Consumer,12/1/2017,Standard Class,New York,Bookcases,0.2,-16.0784,2,321.568
Furniture,Cleveland,United States,Logan Currie,9/9/2017,CA-2017-169439,44105,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",East,Consumer,9/13/2017,Standard Class,Ohio,Furnishings,0.2,-9.0904,2,66.112
Furniture,Fairfield,United States,Liz Preis,6/6/2016,CA-2016-112830,45014,"Deflect-o EconoMat Nonstudded, No Bevel Mat",East,Consumer,6/10/2016,Standard Class,Ohio,Furnishings,0.2,0,2,82.64
Furniture,Marion,United States,Jamie Kunitz,11/20/2015,CA-2015-116484,43302,Ultra Commercial Grade Dual Valve Door Closer,East,Consumer,11/26/2015,Standard Class,Ohio,Furnishings,0.2,9.573600000,2,63.824
Furniture,Newark,United States,Brian Thompson,11/20/2017,US-2017-161193,43055,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",East,Consumer,11/26/2017,Standard Class,Ohio,Furnishings,0.2,1.5714,2,4.656
Furniture,Allentown,United States,Caroline Jumper,7/22/2016,CA-2016-122392,18103,"Master Caster Door Stop, Large Neon Orange",East,Consumer,7/27/2016,Standard Class,Pennsylvania,Furnishings,0.2,3.3488,2,11.648
Furniture,Philadelphia,United States,John Lee,7/7/2014,US-2014-138758,19120,"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",East,Consumer,7/11/2014,Standard Class,Pennsylvania,Furnishings,0.2,12.0764,2,69.008
Furniture,Philadelphia,United States,Giulietta Baptist,6/12/2015,CA-2015-139850,19134,"DataProducts Ampli Magnifier Task Lamp, Black,",East,Consumer,6/17/2015,Standard Class,Pennsylvania,Furnishings,0.2,4.3296,2,43.296
Furniture,Philadelphia,United States,Mick Crebagga,10/30/2017,CA-2017-152807,19140,"Stacking Tray, Side-Loading, Legal, Smoke",East,Consumer,11/3/2017,Standard Class,Pennsylvania,Furnishings,0.2,0.985600000,2,7.168
Furniture,Philadelphia,United States,Shui Tom,7/14/2014,CA-2014-164182,19140,Tensor Track Tree Floor Lamp,East,Consumer,7/18/2014,Standard Class,Pennsylvania,Furnishings,0.2,1.1994,2,31.984
Furniture,Philadelphia,United States,Maribeth Dona,11/5/2014,CA-2014-114251,19143,Tenex Antistatic Computer Chair Mats,East,Consumer,11/10/2014,Standard Class,Pennsylvania,Furnishings,0.2,-34.196,2,273.568
Furniture,New York City,United States,Christine Sundaresam,4/14/2017,CA-2017-131233,10024,"Bush Westfield Collection Bookcases, Fully Assembled",East,Consumer,4/19/2017,Standard Class,New York,Bookcases,0.2,9.088200000,3,242.352
Furniture,New York City,United States,Harry Greene,10/9/2017,CA-2017-141873,10024,"O'Sullivan Elevations Bookcase, Cherry Finish",East,Consumer,10/14/2017,Standard Class,New York,Bookcases,0.2,-15.7176,3,314.352
Furniture,Columbus,United States,Chloris Kastensmidt,11/21/2016,CA-2016-140018,43229,"Computer Room Manger, 14""",East,Consumer,11/26/2016,Standard Class,Ohio,Furnishings,0.2,15.5904,3,77.952
Furniture,Fairfield,United States,Liz Preis,6/6/2016,CA-2016-112830,45014,Electrix Halogen Magnifier Lamp,East,Consumer,6/10/2016,Standard Class,Ohio,Furnishings,0.2,34.974,3,466.32
Furniture,Hamilton,United States,Mark Hamilton,12/20/2014,CA-2014-160157,45011,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,East,Consumer,12/27/2014,Standard Class,Ohio,Furnishings,0.2,-21.4704,3,190.848
Furniture,Philadelphia,United States,Carlos Soltero,11/18/2014,US-2014-159926,19140,"Eldon Executive Woodline II Desk Accessories, Mahogany",East,Consumer,11/22/2014,Standard Class,Pennsylvania,Furnishings,0.2,5.2773,3,60.312
Furniture,Philadelphia,United States,Bruce Stewart,4/10/2017,CA-2017-135069,19143,"Linden 10"" Round Wall Clock, Black",East,Consumer,4/14/2017,Standard Class,Pennsylvania,Furnishings,0.2,6.4176,3,36.672
Furniture,New York City,United States,Greg Matthias,9/30/2016,CA-2016-106243,10011,"O'Sullivan Elevations Bookcase, Cherry Finish",East,Consumer,10/4/2016,Standard Class,New York,Bookcases,0.2,-26.196,5,523.92
Furniture,New York City,United States,Peter Fuller,9/17/2015,US-2015-126977,10035,DMI Eclipse Executive Suite Bookcases,East,Consumer,9/23/2015,Standard Class,New York,Bookcases,0.2,-25.049000000,5,2003.92
Furniture,Columbus,United States,Eugene Barchas,11/28/2015,CA-2015-111612,43229,"Seth Thomas 13 1/2"" Wall Clock",East,Consumer,12/2/2015,Standard Class,Ohio,Furnishings,0.2,9.779,5,71.12
Furniture,Columbus,United States,Henia Zydlo,3/14/2016,US-2016-154361,43229,Advantus Panel Wall Acrylic Frame,East,Consumer,3/19/2016,Standard Class,Ohio,Furnishings,0.2,6.2905,5,21.88
Furniture,Columbus,United States,John Lee,7/14/2017,US-2017-161935,43229,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",East,Consumer,7/18/2017,Standard Class,Ohio,Furnishings,0.2,148.845,5,396.92
Furniture,Newark,United States,Brian Thompson,11/20/2017,US-2017-161193,43055,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",East,Consumer,11/26/2017,Standard Class,Ohio,Furnishings,0.2,28.13,5,77.6
Furniture,New York City,United States,Peter Fuller,9/17/2015,US-2015-126977,10035,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",East,Consumer,9/23/2015,Standard Class,New York,Bookcases,0.2,158.5764,6,4228.704
Furniture,Toledo,United States,Thea Hendricks,11/24/2014,CA-2014-153850,43615,"Eldon 200 Class Desk Accessories, Burgundy",East,Consumer,11/29/2014,Standard Class,Ohio,Furnishings,0.2,9.6712,7,35.168
Furniture,Philadelphia,United States,Dean Braden,9/5/2016,CA-2016-158778,19134,"6"" Cubicle Wall Clock, Black",East,Consumer,9/9/2016,Standard Class,Pennsylvania,Furnishings,0.2,11.6496,9,58.248
Furniture,Buffalo,United States,Greg Tran,11/17/2014,CA-2014-128209,14215,DMI Eclipse Executive Suite Bookcases,East,Consumer,11/22/2014,Standard Class,New York,Bookcases,0.2,-50.098000000,10,4007.84
Furniture,New York City,United States,Janet Lee,11/30/2015,CA-2015-137925,10035,"Hon Metal Bookcases, Black",East,Consumer,12/4/2015,Standard Class,New York,Bookcases,0.2,42.588,12,681.408
Furniture,Philadelphia,United States,Arianne Irving,12/11/2017,US-2017-160759,19120,"Leather Task Chair, Black",East,Consumer,12/17/2017,Standard Class,Pennsylvania,Chairs,0.3,-9.098,1,63.686
Furniture,Columbus,United States,Maribeth Dona,5/8/2017,CA-2017-149181,43229,Global Chrome Stack Chair,East,Consumer,5/12/2017,Standard Class,Ohio,Chairs,0.3,-2.0568,2,47.992
Furniture,Columbus,United States,Pete Kriz,9/24/2016,US-2016-134488,43229,Office Star - Contemporary Task Swivel Chair,East,Consumer,10/1/2016,Standard Class,Ohio,Chairs,0.3,-13.3176,2,155.372
Furniture,Lancaster,United States,Maribeth Dona,9/5/2016,CA-2016-162383,43130,"Global Push Button Manager's Chair, Indigo",East,Consumer,9/11/2016,Standard Class,Ohio,Chairs,0.3,-1.2178,2,85.246
Furniture,Parma,United States,Susan Pistek,11/12/2016,CA-2016-124590,44134,Hon 4070 Series Pagoda Round Back Stacking Chairs,East,Consumer,11/16/2016,Standard Class,Ohio,Chairs,0.3,-12.8392,2,449.372
Furniture,Philadelphia,United States,John Lee,7/7/2014,US-2014-138758,19120,"Global High-Back Leather Tilter, Burgundy",East,Consumer,7/11/2014,Standard Class,Pennsylvania,Chairs,0.3,-46.7362,2,172.186
Furniture,Philadelphia,United States,Dean Braden,9/5/2016,CA-2016-158778,19134,"Global Task Chair, Black",East,Consumer,9/9/2016,Standard Class,Pennsylvania,Chairs,0.3,-19.3382,2,71.246
Furniture,Philadelphia,United States,Sean Christensen,12/1/2017,CA-2017-122539,19140,Global Commerce Series High-Back Swivel/Tilt Chairs,East,Consumer,12/5/2017,Standard Class,Pennsylvania,Chairs,0.3,-28.498,2,398.972
Furniture,Philadelphia,United States,Maris LaWare,11/6/2017,CA-2017-154109,19143,"Global Wood Trimmed Manager's Task Chair, Khaki",East,Consumer,11/11/2017,Standard Class,Pennsylvania,Chairs,0.3,-30.9332,2,127.372
Furniture,Baltimore,United States,Melanie Seite,10/4/2016,CA-2016-131296,21215,"Bush Andora Conference Table, Maple/Graphite Gray Finish",East,Consumer,10/9/2016,Standard Class,Maryland,Tables,0.3,-23.9372,2,239.372
Furniture,Lawrence,United States,Carol Triggs,5/7/2014,CA-2014-166086,01841,Balt Split Level Computer Training Table,East,Consumer,5/12/2014,Standard Class,Massachusetts,Tables,0.3,-38.85,2,194.25
Furniture,Passaic,United States,Art Ferguson,5/22/2016,CA-2016-146934,07055,Bevis 36 x 72 Conference Tables,East,Consumer,5/27/2016,Standard Class,New Jersey,Tables,0.3,-19.9184,2,174.286
Furniture,Vineland,United States,Mick Brown,3/11/2016,US-2016-128902,08360,Chromcraft Round Conference Tables,East,Consumer,3/15/2016,Standard Class,New Jersey,Tables,0.3,-31.3722,2,244.006
Furniture,Columbus,United States,Chloris Kastensmidt,11/21/2016,CA-2016-140018,43229,"Global Value Steno Chair, Gray",East,Consumer,11/26/2016,Standard Class,Ohio,Chairs,0.3,-9.111,3,127.554
Furniture,Chester,United States,Anna Andreadi,6/22/2014,CA-2014-154963,19013,"Padded Folding Chairs, Black, 4/Carton",East,Consumer,6/27/2014,Standard Class,Pennsylvania,Chairs,0.3,-4.858800000,3,170.058
Furniture,Philadelphia,United States,Dean Braden,9/5/2016,CA-2016-158778,19134,Global Comet Stacking Arm Chair,East,Consumer,9/9/2016,Standard Class,Pennsylvania,Chairs,0.3,-63.3765,3,887.271
Furniture,Wilmington,United States,Magdelene Morse,7/15/2017,CA-2017-166142,19805,Hon 2111 Invitation Series Straight Table,East,Consumer,7/19/2017,Standard Class,Delaware,Tables,0.3,-48.7839,3,310.443
Furniture,Franklin,United States,Kean Thornton,5/12/2014,CA-2014-155887,02038,"Bevis Traditional Conference Table Top, Plinth Base",East,Consumer,5/17/2014,Standard Class,Massachusetts,Tables,0.3,-130.0104,3,700.056
Furniture,Philadelphia,United States,Seth Vernon,7/18/2017,US-2017-165358,19134,"Situations Contoured Folding Chairs, 4/Set",East,Consumer,7/23/2017,Standard Class,Pennsylvania,Chairs,0.3,-14.196,4,198.744
Furniture,Philadelphia,United States,Emily Grady,12/8/2017,US-2017-167570,19140,Global Deluxe Steno Chair,East,Consumer,12/15/2017,Standard Class,Pennsylvania,Chairs,0.3,-58.5048,4,215.544
